Cluster 0,Cluster 1,Cluster 2,Cluster 3
Bali Region - Indonesia,Banda Sea,Malay Peninsula,Arafura Sea
Bali Sea,Celebes Sea,Northern Sumatra - Indonesia,Aru Islands Region - Indonesia
Flores Region - Indonesia,Java Sea,Off West Coast of Northern Sumatra,Borneo
Flores Sea,Near S. Coast of New Guinea - PNG.,South China Sea,Buru - Indonesia
Java - Indonesia,Tanimbar Islands Reg. - Indonesia,South Indian Ocean,Ceram Sea
Savu Sea,,Southern Sumatra - Indonesia,East of Philippine Islands
South of Bali - Indonesia,,Southwest of Sumatra - Indonesia,Halmahera - Indonesia
South of Java - Indonesia,,,Irian Jaya - Indonesia
South of Sumbawa - Indonesia,,,Irian Jaya Region - Indonesia
Sumba Region - Indonesia,,,Minahassa Peninsula - Sulawesi
Sumbawa Region - Indonesia,,,Mindanao - Philippines
Sunda Strait - Indonesia,,,Near N. Coast of New Guinea - PNG.
Timor Region,,,Near North Coast of Irian Jaya
Timor Sea,,,Near South Coast of Irian Jaya
,,,New Guinea - Papua New Guinea
,,,Ninigo Islands Region - P.N.G.
,,,North of Halmahera - Indonesia
,,,Northern Molucca Sea
,,,Philippine Islands Region
,,,Seram - Indonesia
,,,Southern Molucca Sea
,,,Sulawesi - Indonesia
,,,Sulu Archipelago - Philippines
,,,Talaud Islands - Indonesia
,,,W. Caroline Islands - Micronesia
